https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1699866000000,2023-11-13 09:00:00,LRC/USD,0.23955,0.23955,0.23955,0.23955,0.0,0.0
1699862400000,2023-11-13 08:00:00,LRC/USD,0.23536,0.24,0.23536,0.23955,2030.18155,486.32999030250005
1699858800000,2023-11-13 07:00:00,LRC/USD,0.23536,0.23536,0.23536,0.23536,0.0,0.0
1699855200000,2023-11-13 06:00:00,LRC/USD,0.23536,0.23536,0.23536,0.23536,0.0,0.0
1699851600000,2023-11-13 05:00:00,LRC/USD,0.23581,0.23581,0.23536,0.23536,633.745994,149.15845714784
1699848000000,2023-11-13 04:00:00,LRC/USD,0.23591,0.23591,0.23581,0.23581,54.227754,12.78744667074
1699844400000,2023-11-13 03:00:00,LRC/USD,0.24786,0.24861,0.23591,0.23591,3270.222748,771.47824848068
1699840800000,2023-11-13 02:00:00,LRC/USD,0.24682,0.24786,0.24682,0.24786,1985.466799,492.11780080014
1699837200000,2023-11-13 01:00:00,LRC/USD,0.23982,0.24682,0.23955,0.24682,2635.123068,650.40107564376
1699833600000,2023-11-13 00:00:00,LRC/USD,0.24091,0.24091,0.23982,0.23982,104.024239,24.94709299698
1699830000000,2023-11-12 23:00:00,LRC/USD,0.24502,0.24502,0.24091,0.24091,154.320638,37.17738490058
1699826400000,2023-11-12 22:00:00,LRC/USD,0.24198,0.24502,0.24198,0.24502,393.853274,96.50192919547999
1699822800000,2023-11-12 21:00:00,LRC/USD,0.24348,0.24509,0.24198,0.24198,278.582391,67.41136697418
1699819200000,2023-11-12 20:00:00,LRC/USD,0.24251,0.24372,0.24251,0.24348,118.555468,28.865885348640003
1699815600000,2023-11-12 19:00:00,LRC/USD,0.23528,0.24369,0.23528,0.24251,701.581911,170.14062923661
1699812000000,2023-11-12 18:00:00,LRC/USD,0.23561,0.23561,0.23528,0.23528,1146.908887,269.84472293336
1699808400000,2023-11-12 17:00:00,LRC/USD,0.24372,0.24372,0.23442,0.23561,10441.5,2460.121815
1699804800000,2023-11-12 16:00:00,LRC/USD,0.24372,0.24372,0.24372,0.24372,0.0,0.0
1699801200000,2023-11-12 15:00:00,LRC/USD,0.24222,0.24372,0.24222,0.24372,1314.309225,320.323444317
1699797600000,2023-11-12 14:00:00,LRC/USD,0.25054,0.25054,0.24222,0.24222,488.762558,118.38806679876
1699794000000,2023-11-12 13:00:00,LRC/USD,0.25054,0.25054,0.25054,0.25054,0.0,0.0
1699790400000,2023-11-12 12:00:00,LRC/USD,0.24683,0.25054,0.24682,0.25054,1099.211413,275.39642741302
1699786800000,2023-11-12 11:00:00,LRC/USD,0.24683,0.24683,0.24683,0.24683,0.0,0.0
1699783200000,2023-11-12 10:00:00,LRC/USD,0.24683,0.24683,0.24683,0.24683,0.0,0.0
1699779600000,2023-11-12 09:00:00,LRC/USD,0.245,0.24683,0.245,0.24683,193.534083,47.77001770689
1699776000000,2023-11-12 08:00:00,LRC/USD,0.24393,0.245,0.24393,0.245,22027.951896,5396.84821452
1699772400000,2023-11-12 07:00:00,LRC/USD,0.2377,0.24393,0.23407,0.24393,188623.969311,46011.04483403223
1699768800000,2023-11-12 06:00:00,LRC/USD,0.23854,0.23854,0.23271,0.2377,89.938395,21.3783564915
1699765200000,2023-11-12 05:00:00,LRC/USD,0.23854,0.23854,0.23854,0.23854,0.0,0.0
1699761600000,2023-11-12 04:00:00,LRC/USD,0.22547,0.23864,0.22547,0.23854,158.754656,37.86933564224
1699758000000,2023-11-12 03:00:00,LRC/USD,0.22343,0.22986,0.22343,0.22547,148.985365,33.59173024655
1699754400000,2023-11-12 02:00:00,LRC/USD,0.23431,0.23431,0.22343,0.22343,5800.0,1295.894
1699750800000,2023-11-12 01:00:00,LRC/USD,0.23431,0.23431,0.23431,0.23431,0.0,0.0
1699747200000,2023-11-12 00:00:00,LRC/USD,0.23911,0.23911,0.22827,0.23431,4201.204849,984.3843081691899
1699743600000,2023-11-11 23:00:00,LRC/USD,0.2342,0.23911,0.23387,0.23911,2732.608648,653.3940538232799
1699740000000,2023-11-11 22:00:00,LRC/USD,0.23642,0.23642,0.2342,0.2342,2306.029503,540.0721096026
1699736400000,2023-11-11 21:00:00,LRC/USD,0.23871,0.23871,0.23642,0.23642,781.67952,184.8046721184
1699732800000,2023-11-11 20:00:00,LRC/USD,0.24415,0.24415,0.23871,0.23871,420.191808,100.30398648767999
1699729200000,2023-11-11 19:00:00,LRC/USD,0.242,0.24415,0.23594,0.24415,597.272621,145.82411041715
1699725600000,2023-11-11 18:00:00,LRC/USD,0.23923,0.245,0.23923,0.242,20411.818384,4939.660048927999
1699722000000,2023-11-11 17:00:00,LRC/USD,0.24499,0.24499,0.23923,0.23923,85.194567,20.38109626341
1699718400000,2023-11-11 16:00:00,LRC/USD,0.23751,0.24499,0.23319,0.24499,14767.953423,3618.0009091007705
1699714800000,2023-11-11 15:00:00,LRC/USD,0.23601,0.23751,0.23601,0.23751,175.086641,41.58482810391
1699711200000,2023-11-11 14:00:00,LRC/USD,0.23453,0.23601,0.23453,0.23601,505.463358,119.29440712158001
1699707600000,2023-11-11 13:00:00,LRC/USD,0.22621,0.23453,0.22621,0.23453,36.487338,8.55737538114
1699704000000,2023-11-11 12:00:00,LRC/USD,0.2323,0.2323,0.22621,0.22621,90.290644,20.42464657924
1699700400000,2023-11-11 11:00:00,LRC/USD,0.2323,0.2323,0.2323,0.2323,0.0,0.0
1699696800000,2023-11-11 10:00:00,LRC/USD,0.23207,0.2323,0.23143,0.2323,38.591682,8.9648477286
1699693200000,2023-11-11 09:00:00,LRC/USD,0.22405,0.23207,0.22405,0.23207,302.409828,70.18024878396
1699689600000,2023-11-11 08:00:00,LRC/USD,0.22405,0.22405,0.22405,0.22405,0.0,0.0
1699686000000,2023-11-11 07:00:00,LRC/USD,0.22421,0.22421,0.22405,0.22405,2311.214632,517.8276382996
1699682400000,2023-11-11 06:00:00,LRC/USD,0.22421,0.22421,0.22421,0.22421,0.0,0.0
1699678800000,2023-11-11 05:00:00,LRC/USD,0.22478,0.22478,0.22421,0.22421,19.16337,4.2966191877
1699675200000,2023-11-11 04:00:00,LRC/USD,0.22479,0.22479,0.22478,0.22478,341.064919,76.66457249282
1699671600000,2023-11-11 03:00:00,LRC/USD,0.22816,0.22816,0.22479,0.22479,2311.214631,519.53793690249
1699668000000,2023-11-11 02:00:00,LRC/USD,0.22818,0.22818,0.22816,0.22816,133.559967,30.473042070720002
1699664400000,2023-11-11 01:00:00,LRC/USD,0.22818,0.22818,0.22818,0.22818,0.0,0.0
1699660800000,2023-11-11 00:00:00,LRC/USD,0.22818,0.22818,0.22818,0.22818,0.0,0.0
1699657200000,2023-11-10 23:00:00,LRC/USD,0.23123,0.23123,0.22818,0.22818,318.018305,72.56541683489999
1699653600000,2023-11-10 22:00:00,LRC/USD,0.22906,0.23548,0.22906,0.23123,6932.01809,1602.8905429507
1699650000000,2023-11-10 21:00:00,LRC/USD,0.22906,0.22906,0.22906,0.22906,0.0,0.0
1699646400000,2023-11-10 20:00:00,LRC/USD,0.22565,0.22906,0.22467,0.22906,378.488699,86.69662139294
1699642800000,2023-11-10 19:00:00,LRC/USD,0.22545,0.22628,0.22356,0.22565,1145.073288,258.3857874372
1699639200000,2023-11-10 18:00:00,LRC/USD,0.23241,0.23241,0.22545,0.22545,57.383657,12.93714547065
1699635600000,2023-11-10 17:00:00,LRC/USD,0.22963,0.23241,0.22963,0.23241,851.06383,197.79574473030002
1699632000000,2023-11-10 16:00:00,LRC/USD,0.22963,0.22963,0.22963,0.22963,0.0,0.0
1699628400000,2023-11-10 15:00:00,LRC/USD,0.2255,0.22963,0.2255,0.22963,1067.141866,245.04778668958
1699624800000,2023-11-10 14:00:00,LRC/USD,0.22994,0.22994,0.2255,0.2255,620.575815,139.9398462825
1699621200000,2023-11-10 13:00:00,LRC/USD,0.23598,0.23598,0.22994,0.22994,322.107241,74.06533899554
1699617600000,2023-11-10 12:00:00,LRC/USD,0.236,0.236,0.23129,0.23598,262.068979,61.84303766442
1699614000000,2023-11-10 11:00:00,LRC/USD,0.23328,0.236,0.22647,0.236,2816.798227,664.764381572
1699610400000,2023-11-10 10:00:00,LRC/USD,0.2321,0.23328,0.2321,0.23328,56.307889,13.13550434592
1699606800000,2023-11-10 09:00:00,LRC/USD,0.2321,0.2321,0.2321,0.2321,0.0,0.0
1699603200000,2023-11-10 08:00:00,LRC/USD,0.23092,0.2321,0.23092,0.2321,43.084878,10.000000183800001
1699599600000,2023-11-10 07:00:00,LRC/USD,0.23499,0.23499,0.22647,0.23092,5238.78806,1209.7409388151998
1699596000000,2023-11-10 06:00:00,LRC/USD,0.23249,0.23499,0.23249,0.23499,1455.591006,342.04933049994
1699592400000,2023-11-10 05:00:00,LRC/USD,0.2325,0.2325,0.23249,0.23249,65.150218,15.14677418282
1699588800000,2023-11-10 04:00:00,LRC/USD,0.22545,0.2325,0.22545,0.2325,604.774864,140.61015588
1699585200000,2023-11-10 03:00:00,LRC/USD,0.22906,0.23249,0.22545,0.22545,4006.653042,903.2999283189
1699581600000,2023-11-10 02:00:00,LRC/USD,0.22529,0.22906,0.22446,0.22906,525.834671,120.44768973926
