https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UMA,Volume USD
1704888000000,2024-01-10 12:00:00,UMA/USD,1.9092,1.9092,1.8695,1.8695,43.411288,81.157402916
1704884400000,2024-01-10 11:00:00,UMA/USD,1.9092,1.9092,1.9092,1.9092,0.0,0.0
1704880800000,2024-01-10 10:00:00,UMA/USD,1.8719,1.9092,1.8719,1.9092,11.28558,21.546429336
1704877200000,2024-01-10 09:00:00,UMA/USD,1.8719,1.8719,1.8719,1.8719,0.534216,0.9999989304
1704873600000,2024-01-10 08:00:00,UMA/USD,1.8719,1.8719,1.8719,1.8719,0.0,0.0
1704870000000,2024-01-10 07:00:00,UMA/USD,1.8719,1.8719,1.8719,1.8719,0.0,0.0
1704866400000,2024-01-10 06:00:00,UMA/USD,1.8719,1.8719,1.8719,1.8719,0.0,0.0
1704862800000,2024-01-10 05:00:00,UMA/USD,1.8868,1.8868,1.8719,1.8719,0.264998,0.49604975619999997
1704859200000,2024-01-10 04:00:00,UMA/USD,1.8782,1.8868,1.8782,1.8868,0.511219,0.9645680092
1704855600000,2024-01-10 03:00:00,UMA/USD,1.8535,1.8782,1.8535,1.8782,30.626073,57.52189030860001
1704852000000,2024-01-10 02:00:00,UMA/USD,1.8535,1.8535,1.8535,1.8535,0.0,0.0
1704848400000,2024-01-10 01:00:00,UMA/USD,1.8535,1.8535,1.8535,1.8535,0.0,0.0
1704844800000,2024-01-10 00:00:00,UMA/USD,1.8535,1.8535,1.8535,1.8535,0.0,0.0
1704841200000,2024-01-09 23:00:00,UMA/USD,1.8695,1.8695,1.8535,1.8535,112.31422,208.17440677
1704837600000,2024-01-09 22:00:00,UMA/USD,1.8306,1.8695,1.8306,1.8695,5.462689,10.2124970855
1704834000000,2024-01-09 21:00:00,UMA/USD,1.7925,1.8695,1.7925,1.8306,416.504178,762.4525482468
