https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1695042000000,2023-09-18 13:00:00,MATIC/USD,0.53441,0.53541,0.53096,0.53166,30320.101357,16119.98508746262
1695038400000,2023-09-18 12:00:00,MATIC/USD,0.52966,0.53537,0.52897,0.53441,16800.910072,8978.57435157752
1695034800000,2023-09-18 11:00:00,MATIC/USD,0.53368,0.53368,0.52932,0.52966,1112.838363,589.42596734658
1695031200000,2023-09-18 10:00:00,MATIC/USD,0.52826,0.53368,0.52826,0.53368,2187.048088,1167.1838236038402
1695027600000,2023-09-18 09:00:00,MATIC/USD,0.52285,0.52826,0.52285,0.52826,3394.159422,1792.99865626572
1695024000000,2023-09-18 08:00:00,MATIC/USD,0.52469,0.52469,0.52278,0.52285,374.921498,196.0277052293
1695020400000,2023-09-18 07:00:00,MATIC/USD,0.52255,0.52469,0.52255,0.52469,30.231926,15.86238925294
1695016800000,2023-09-18 06:00:00,MATIC/USD,0.52174,0.52386,0.52174,0.52255,170.443679,89.06534446145
1695013200000,2023-09-18 05:00:00,MATIC/USD,0.52052,0.52174,0.52052,0.52174,64.310514,33.553367574359996
1695009600000,2023-09-18 04:00:00,MATIC/USD,0.52348,0.52348,0.52052,0.52052,734.4535,382.29773581999996
1695006000000,2023-09-18 03:00:00,MATIC/USD,0.51976,0.52348,0.51894,0.52348,3806.809609,1992.7886941193196
1695002400000,2023-09-18 02:00:00,MATIC/USD,0.51389,0.52211,0.51389,0.51976,3309.953465,1720.3814129684001
1694998800000,2023-09-18 01:00:00,MATIC/USD,0.51325,0.51474,0.51254,0.51389,2482.610477,1275.78869802553
1694995200000,2023-09-18 00:00:00,MATIC/USD,0.51602,0.51708,0.51184,0.51325,638.572263,327.74721398475
1694991600000,2023-09-17 23:00:00,MATIC/USD,0.51652,0.51652,0.51602,0.51602,83.717731,43.20002355062
1694988000000,2023-09-17 22:00:00,MATIC/USD,0.51571,0.51686,0.51538,0.51652,470.761496,243.15772791392
1694984400000,2023-09-17 21:00:00,MATIC/USD,0.51358,0.51605,0.51358,0.51571,413.35156,213.1695330076
1694980800000,2023-09-17 20:00:00,MATIC/USD,0.51937,0.52,0.51358,0.51358,2848.390882,1462.8765891775602
1694977200000,2023-09-17 19:00:00,MATIC/USD,0.52003,0.52055,0.51937,0.51937,397.417942,206.40695653653998
1694973600000,2023-09-17 18:00:00,MATIC/USD,0.51786,0.52003,0.5,0.52003,29633.45815,15410.2872417445
1694970000000,2023-09-17 17:00:00,MATIC/USD,0.52141,0.52506,0.51786,0.51786,1528.221017,791.40453586362
1694966400000,2023-09-17 16:00:00,MATIC/USD,0.52319,0.52319,0.52091,0.52141,1178.490118,614.47653242638
