https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STORJ,Volume USD
1715367600000,2024-05-10 19:00:00,STORJ/USD,0.51618,0.51648,0.51618,0.51648,115.917017,59.868820940160006
1715364000000,2024-05-10 18:00:00,STORJ/USD,0.51618,0.51618,0.51618,0.51618,3874.61738,1999.9999992084
1715360400000,2024-05-10 17:00:00,STORJ/USD,0.5231,0.5231,0.51618,0.51618,480.382383,247.96377845694
1715356800000,2024-05-10 16:00:00,STORJ/USD,0.52556,0.52556,0.5231,0.5231,145.987766,76.3662003946
1715353200000,2024-05-10 15:00:00,STORJ/USD,0.52968,0.53062,0.52,0.52556,23246.641954,12217.50514534424
1715349600000,2024-05-10 14:00:00,STORJ/USD,0.54845,0.5487,0.52346,0.52968,8042.12485,4259.752690548001
1715346000000,2024-05-10 13:00:00,STORJ/USD,0.55014,0.55014,0.54845,0.54845,222.209593,121.87085128085
1715342400000,2024-05-10 12:00:00,STORJ/USD,0.55014,0.55014,0.55014,0.55014,0.0,0.0
1715338800000,2024-05-10 11:00:00,STORJ/USD,0.54916,0.55014,0.54641,0.55014,3962.697231,2180.03825466234
1715335200000,2024-05-10 10:00:00,STORJ/USD,0.54916,0.54916,0.54916,0.54916,0.0,0.0
1715331600000,2024-05-10 09:00:00,STORJ/USD,0.55145,0.55145,0.54916,0.54916,0.653959,0.35912812444
1715328000000,2024-05-10 08:00:00,STORJ/USD,0.54635,0.55145,0.54635,0.55145,44.729479,24.66607119455
1715324400000,2024-05-10 07:00:00,STORJ/USD,0.54153,0.5465,0.54153,0.54635,880.0,480.788
1715320800000,2024-05-10 06:00:00,STORJ/USD,0.54153,0.54153,0.54153,0.54153,0.0,0.0
1715317200000,2024-05-10 05:00:00,STORJ/USD,0.54418,0.54418,0.54153,0.54153,11.604097,6.283966648409999
1715313600000,2024-05-10 04:00:00,STORJ/USD,0.54496,0.54496,0.54418,0.54418,22.96849,12.4989928882
1715310000000,2024-05-10 03:00:00,STORJ/USD,0.54496,0.54496,0.54496,0.54496,0.550499,0.29999993504
1715306400000,2024-05-10 02:00:00,STORJ/USD,0.54762,0.54762,0.54496,0.54496,82.744468,45.09242528128
1715302800000,2024-05-10 01:00:00,STORJ/USD,0.53968,0.54972,0.53968,0.54762,3721.21302,2037.8106740124
1715299200000,2024-05-10 00:00:00,STORJ/USD,0.54046,0.54046,0.53968,0.53968,200.0,107.936
1715295600000,2024-05-09 23:00:00,STORJ/USD,0.54046,0.54046,0.54046,0.54046,0.0,0.0
1715292000000,2024-05-09 22:00:00,STORJ/USD,0.53654,0.54046,0.53654,0.54046,71.024406,38.385850466760004
1715288400000,2024-05-09 21:00:00,STORJ/USD,0.53424,0.53654,0.53424,0.53654,38.044513,20.412403005020003
1715284800000,2024-05-09 20:00:00,STORJ/USD,0.53413,0.53588,0.53413,0.53424,212.791613,113.68179132912002
1715281200000,2024-05-09 19:00:00,STORJ/USD,0.53053,0.53475,0.53053,0.53413,195.55983,104.4543719979
1715277600000,2024-05-09 18:00:00,STORJ/USD,0.52959,0.53136,0.52862,0.53053,7489.816775,3973.5724936407496
1715274000000,2024-05-09 17:00:00,STORJ/USD,0.53283,0.53283,0.52959,0.52959,3020.886796,1599.8314382936398
1715270400000,2024-05-09 16:00:00,STORJ/USD,0.53116,0.53283,0.53116,0.53283,32.665881,17.40536137323
1715266800000,2024-05-09 15:00:00,STORJ/USD,0.52164,0.53116,0.52164,0.53116,910.592788,483.67046527408
1715263200000,2024-05-09 14:00:00,STORJ/USD,0.5257,0.5257,0.52164,0.52164,30.490773,15.90520682772
1715259600000,2024-05-09 13:00:00,STORJ/USD,0.5257,0.5257,0.5257,0.5257,0.0,0.0
1715256000000,2024-05-09 12:00:00,STORJ/USD,0.51314,0.5257,0.51314,0.5257,238.044513,125.14000048409999
1715252400000,2024-05-09 11:00:00,STORJ/USD,0.52408,0.52408,0.51314,0.51314,2.926638,1.5017750233200002
1715248800000,2024-05-09 10:00:00,STORJ/USD,0.52408,0.52408,0.52408,0.52408,0.0,0.0
1715245200000,2024-05-09 09:00:00,STORJ/USD,0.52408,0.52408,0.52408,0.52408,0.0,0.0
1715241600000,2024-05-09 08:00:00,STORJ/USD,0.52614,0.52614,0.52408,0.52408,441.2,231.224096
1715238000000,2024-05-09 07:00:00,STORJ/USD,0.52614,0.52614,0.52614,0.52614,0.0,0.0
1715234400000,2024-05-09 06:00:00,STORJ/USD,0.52614,0.52614,0.52614,0.52614,0.0,0.0
1715230800000,2024-05-09 05:00:00,STORJ/USD,0.5256,0.52614,0.5256,0.52614,7.583494,3.9899795331600005
1715227200000,2024-05-09 04:00:00,STORJ/USD,0.52775,0.52775,0.5256,0.5256,33.807637,17.7692940072
1715223600000,2024-05-09 03:00:00,STORJ/USD,0.52775,0.52775,0.52775,0.52775,0.0,0.0
1715220000000,2024-05-09 02:00:00,STORJ/USD,0.52289,0.52775,0.52289,0.52775,28.282582,14.926132650500001
1715216400000,2024-05-09 01:00:00,STORJ/USD,0.52289,0.52289,0.52289,0.52289,0.0,0.0
1715212800000,2024-05-09 00:00:00,STORJ/USD,0.52289,0.52289,0.52289,0.52289,0.0,0.0
1715209200000,2024-05-08 23:00:00,STORJ/USD,0.52289,0.52289,0.52289,0.52289,0.0,0.0
1715205600000,2024-05-08 22:00:00,STORJ/USD,0.52289,0.52289,0.52289,0.52289,0.0,0.0
1715202000000,2024-05-08 21:00:00,STORJ/USD,0.52289,0.52289,0.52289,0.52289,0.0,0.0
1715198400000,2024-05-08 20:00:00,STORJ/USD,0.53317,0.53317,0.52289,0.52289,27.667546,14.46708312794
1715194800000,2024-05-08 19:00:00,STORJ/USD,0.53605,0.53605,0.53317,0.53317,2.805154,1.4956239581800002
1715191200000,2024-05-08 18:00:00,STORJ/USD,0.53605,0.53605,0.5351,0.53605,1.00644,0.539502162
1715187600000,2024-05-08 17:00:00,STORJ/USD,0.53805,0.53805,0.53591,0.53605,100.470437,53.85717775385
1715184000000,2024-05-08 16:00:00,STORJ/USD,0.53805,0.53805,0.53805,0.53805,0.0,0.0
1715180400000,2024-05-08 15:00:00,STORJ/USD,0.53805,0.53805,0.53805,0.53805,0.0,0.0
1715176800000,2024-05-08 14:00:00,STORJ/USD,0.52226,0.53805,0.52226,0.53805,709.59691,381.7986174255
