https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1761584400000,2025-10-27 17:00:00,CUBE/USD,0.2774,0.2774,0.2774,0.2774,0.0,0.0
1761580800000,2025-10-27 16:00:00,CUBE/USD,0.27,0.2774,0.27,0.2774,7.0,1.9417999999999997
1761577200000,2025-10-27 15:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761573600000,2025-10-27 14:00:00,CUBE/USD,0.27,0.27,0.27,0.27,3.734012,1.00818324
1761570000000,2025-10-27 13:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761566400000,2025-10-27 12:00:00,CUBE/USD,0.27,0.27,0.27,0.27,223.980537,60.474744990000005
1761562800000,2025-10-27 11:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761559200000,2025-10-27 10:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761555600000,2025-10-27 09:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761552000000,2025-10-27 08:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761548400000,2025-10-27 07:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761544800000,2025-10-27 06:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761541200000,2025-10-27 05:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761537600000,2025-10-27 04:00:00,CUBE/USD,0.27,0.27,0.27,0.27,6.344424,1.71299448
1761534000000,2025-10-27 03:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761530400000,2025-10-27 02:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761526800000,2025-10-27 01:00:00,CUBE/USD,0.27,0.27,0.27,0.27,0.0,0.0
1761523200000,2025-10-27 00:00:00,CUBE/USD,0.27,0.27,0.27,0.27,25.0,6.75
1761519600000,2025-10-26 23:00:00,CUBE/USD,0.285,0.285,0.27,0.27,48.325417,13.047862590000001
1761516000000,2025-10-26 22:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761512400000,2025-10-26 21:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761508800000,2025-10-26 20:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761505200000,2025-10-26 19:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761501600000,2025-10-26 18:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761498000000,2025-10-26 17:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761494400000,2025-10-26 16:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761490800000,2025-10-26 15:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761487200000,2025-10-26 14:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761483600000,2025-10-26 13:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761480000000,2025-10-26 12:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761476400000,2025-10-26 11:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761472800000,2025-10-26 10:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761469200000,2025-10-26 09:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761465600000,2025-10-26 08:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761462000000,2025-10-26 07:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761458400000,2025-10-26 06:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1761454800000,2025-10-26 05:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
