https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume INJ,Volume USD
1764064800000,2025-11-25 10:00:00,INJ/USD,5.6661,5.6661,5.6661,5.6661,0.0,0.0
1764061200000,2025-11-25 09:00:00,INJ/USD,5.6661,5.6661,5.6661,5.6661,0.0,0.0
1764057600000,2025-11-25 08:00:00,INJ/USD,5.6881,5.6881,5.6661,5.6661,6.370368,36.0951421248
1764054000000,2025-11-25 07:00:00,INJ/USD,5.6987,5.6987,5.6881,5.6881,234.319258,1332.8313714298001
1764050400000,2025-11-25 06:00:00,INJ/USD,5.7631,5.7631,5.6987,5.6987,17.115207,97.5344301309
1764046800000,2025-11-25 05:00:00,INJ/USD,5.6852,5.7631,5.6852,5.7631,5.496893,31.6791440483
1764043200000,2025-11-25 04:00:00,INJ/USD,5.6852,5.6852,5.6852,5.6852,0.0,0.0
1764039600000,2025-11-25 03:00:00,INJ/USD,5.7762,5.7762,5.6852,5.6852,65.806079,374.1207203308
1764036000000,2025-11-25 02:00:00,INJ/USD,5.7762,5.7762,5.7762,5.7762,0.0,0.0
1764032400000,2025-11-25 01:00:00,INJ/USD,5.7466,5.7762,5.7466,5.7762,2.005532,11.584353938400001
1764028800000,2025-11-25 00:00:00,INJ/USD,5.7914,5.7914,5.7466,5.7466,16.976287,97.5559308742
1764025200000,2025-11-24 23:00:00,INJ/USD,5.7914,5.7914,5.7914,5.7914,0.0,0.0
1764021600000,2025-11-24 22:00:00,INJ/USD,5.7945,5.7945,5.7914,5.7914,55.388799,320.7786905286
1764018000000,2025-11-24 21:00:00,INJ/USD,5.7945,5.7945,5.7945,5.7945,0.0,0.0
1764014400000,2025-11-24 20:00:00,INJ/USD,5.7945,5.7945,5.7945,5.7945,0.0,0.0
1764010800000,2025-11-24 19:00:00,INJ/USD,5.7955,5.8383,5.7874,5.7945,934.974611,5417.7103834395
1764007200000,2025-11-24 18:00:00,INJ/USD,5.7309,5.81,5.7309,5.7955,187.490244,1086.599709102
1764003600000,2025-11-24 17:00:00,INJ/USD,5.5974,5.7309,5.5974,5.7309,17.241379,98.8086189111
1764000000000,2025-11-24 16:00:00,INJ/USD,5.5974,5.5974,5.5974,5.5974,0.0,0.0
1763996400000,2025-11-24 15:00:00,INJ/USD,5.44,5.5974,5.44,5.5974,80.22878,449.07257317200003
1763992800000,2025-11-24 14:00:00,INJ/USD,5.44,5.44,5.44,5.44,0.0,0.0
1763989200000,2025-11-24 13:00:00,INJ/USD,5.44,5.44,5.44,5.44,0.0,0.0
1763985600000,2025-11-24 12:00:00,INJ/USD,5.4414,5.4414,5.44,5.44,10.0,54.400000000000006
1763982000000,2025-11-24 11:00:00,INJ/USD,5.4414,5.4414,5.4414,5.4414,0.0,0.0
