https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1691082000000,2023-08-03 17:00:00,BTCG/USD,29250.04,29250.04,29250.04,29250.04,0.0,0.0
1691078400000,2023-08-03 16:00:00,BTCG/USD,29366.89,29366.89,29250.04,29250.04,0.001203,35.187798120000004
1691074800000,2023-08-03 15:00:00,BTCG/USD,29366.89,29366.89,29366.89,29366.89,0.0,0.0
1691071200000,2023-08-03 14:00:00,BTCG/USD,29120.79,29366.89,29120.79,29366.89,0.00262009,76.9438948201
1691067600000,2023-08-03 13:00:00,BTCG/USD,29120.79,29120.79,29120.79,29120.79,0.0,0.0
1691064000000,2023-08-03 12:00:00,BTCG/USD,29113.96,29120.79,29113.96,29120.79,0.0048066,139.97198921400002
1691060400000,2023-08-03 11:00:00,BTCG/USD,29028.87,29113.96,29028.87,29113.96,0.00323227,94.1041794892
1691056800000,2023-08-03 10:00:00,BTCG/USD,29028.87,29028.87,29028.87,29028.87,0.0,0.0
1691053200000,2023-08-03 09:00:00,BTCG/USD,29028.87,29028.87,29028.87,29028.87,0.0,0.0
1691049600000,2023-08-03 08:00:00,BTCG/USD,29028.87,29028.87,29028.87,29028.87,0.0,0.0
1691046000000,2023-08-03 07:00:00,BTCG/USD,29045.0,29045.0,29028.87,29028.87,0.03587208,1041.3259469496
1691042400000,2023-08-03 06:00:00,BTCG/USD,29149.34,29149.34,29045.0,29045.0,0.05645714,1639.7976313000001
1691038800000,2023-08-03 05:00:00,BTCG/USD,29149.34,29149.34,29149.34,29149.34,0.0,0.0
1691035200000,2023-08-03 04:00:00,BTCG/USD,29149.34,29149.34,29149.34,29149.34,0.0,0.0
1691031600000,2023-08-03 03:00:00,BTCG/USD,29149.34,29149.34,29149.34,29149.34,0.0,0.0
1691028000000,2023-08-03 02:00:00,BTCG/USD,29179.04,29179.04,29149.34,29149.34,0.00295284,86.0733371256
1691024400000,2023-08-03 01:00:00,BTCG/USD,29179.04,29179.04,29179.04,29179.04,0.0,0.0
1691020800000,2023-08-03 00:00:00,BTCG/USD,29128.9,29179.04,29128.9,29179.04,0.0005145,15.01261608
1691017200000,2023-08-02 23:00:00,BTCG/USD,29193.5,29193.5,29128.9,29128.9,0.055,1602.0895
1691013600000,2023-08-02 22:00:00,BTCG/USD,29092.47,29193.5,29092.47,29193.5,0.00305647,89.229056945
1691010000000,2023-08-02 21:00:00,BTCG/USD,29092.47,29092.47,29092.47,29092.47,0.0,0.0
1691006400000,2023-08-02 20:00:00,BTCG/USD,29092.47,29092.47,29092.47,29092.47,0.0,0.0
1691002800000,2023-08-02 19:00:00,BTCG/USD,29092.47,29092.47,29092.47,29092.47,0.0,0.0
1690999200000,2023-08-02 18:00:00,BTCG/USD,29152.5,29152.5,29079.42,29092.47,2.39678363,69728.3558522661
1690995600000,2023-08-02 17:00:00,BTCG/USD,29000.0,29152.5,29000.0,29152.5,0.01905668,555.5498637
1690992000000,2023-08-02 16:00:00,BTCG/USD,29300.1,29300.1,29000.0,29000.0,0.01762654,511.16965999999996
1690988400000,2023-08-02 15:00:00,BTCG/USD,29300.1,29300.1,29300.1,29300.1,0.0,0.0
1690984800000,2023-08-02 14:00:00,BTCG/USD,29411.63,29411.63,29300.1,29300.1,0.00105871,31.020308871
1690981200000,2023-08-02 13:00:00,BTCG/USD,29527.81,29527.81,29366.89,29411.63,0.00279424,82.1831530112
1690977600000,2023-08-02 12:00:00,BTCG/USD,29532.95,29543.48,29527.33,29527.81,0.00937784,276.90707773040003
1690974000000,2023-08-02 11:00:00,BTCG/USD,29671.18,29671.18,29532.95,29532.95,0.00049477,14.612017671499999
1690970400000,2023-08-02 10:00:00,BTCG/USD,29671.18,29671.18,29671.18,29671.18,0.0,0.0
1690966800000,2023-08-02 09:00:00,BTCG/USD,29671.18,29671.18,29671.18,29671.18,0.0,0.0
1690963200000,2023-08-02 08:00:00,BTCG/USD,29671.18,29671.18,29671.18,29671.18,0.0,0.0
1690959600000,2023-08-02 07:00:00,BTCG/USD,29671.18,29671.18,29671.18,29671.18,0.0,0.0
1690956000000,2023-08-02 06:00:00,BTCG/USD,29671.18,29671.18,29671.18,29671.18,0.0,0.0
1690952400000,2023-08-02 05:00:00,BTCG/USD,29671.18,29671.18,29671.18,29671.18,0.0,0.0
1690948800000,2023-08-02 04:00:00,BTCG/USD,29671.18,29671.18,29671.18,29671.18,0.0,0.0
1690945200000,2023-08-02 03:00:00,BTCG/USD,29830.14,29830.14,29671.18,29671.18,0.00025456,7.553095580799999
1690941600000,2023-08-02 02:00:00,BTCG/USD,30000.0,30000.0,29830.14,29830.14,0.576,17182.16064
1690938000000,2023-08-02 01:00:00,BTCG/USD,29671.18,30000.0,29671.18,30000.0,0.00042365,12.7095
1690934400000,2023-08-02 00:00:00,BTCG/USD,29671.18,29671.18,29671.18,29671.18,0.0,0.0
1690930800000,2023-08-01 23:00:00,BTCG/USD,29300.0,29671.18,29300.0,29671.18,1.38020825,40952.407423234996
1690927200000,2023-08-01 22:00:00,BTCG/USD,29300.0,29300.0,29300.0,29300.0,0.0,0.0
1690923600000,2023-08-01 21:00:00,BTCG/USD,29203.3,29300.0,29203.3,29300.0,0.00088601,25.960093
1690920000000,2023-08-01 20:00:00,BTCG/USD,29253.57,29253.57,29203.3,29203.3,0.03240004,946.188088132
1690916400000,2023-08-01 19:00:00,BTCG/USD,29062.59,29253.57,29062.59,29253.57,1e-05,0.2925357
1690912800000,2023-08-01 18:00:00,BTCG/USD,28936.36,29062.59,28936.36,29062.59,0.04125456,1198.9643629104
