https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1764154800000,2025-11-26 11:00:00,SOL/USD,137.204,137.267,136.512,136.726,355.273788,48575.163938088
1764151200000,2025-11-26 10:00:00,SOL/USD,136.685,137.369,136.598,137.204,364.661657,50033.037987028
1764147600000,2025-11-26 09:00:00,SOL/USD,137.893,137.938,136.0,136.685,4278.488847,584805.248052195
1764144000000,2025-11-26 08:00:00,SOL/USD,139.861,139.861,137.893,137.893,731.828756,100914.062651108
1764140400000,2025-11-26 07:00:00,SOL/USD,139.639,139.861,139.12,139.861,426.827711,59696.550488171
1764136800000,2025-11-26 06:00:00,SOL/USD,139.048,139.639,138.387,139.639,473.739154,66152.461725406
1764133200000,2025-11-26 05:00:00,SOL/USD,137.946,139.241,137.929,139.048,949.478247,132023.051288856
1764129600000,2025-11-26 04:00:00,SOL/USD,138.107,138.447,137.741,137.946,551.563632,76085.996779872
1764126000000,2025-11-26 03:00:00,SOL/USD,139.139,139.675,137.899,138.107,681.940498,94180.75635728601
1764122400000,2025-11-26 02:00:00,SOL/USD,139.913,140.098,138.989,139.139,812.727217,113082.052246163
1764118800000,2025-11-26 01:00:00,SOL/USD,138.988,140.579,138.529,139.913,2132.845286,298412.7825001181
1764115200000,2025-11-26 00:00:00,SOL/USD,138.936,139.804,138.839,138.988,5581.24687,775726.33996756
1764111600000,2025-11-25 23:00:00,SOL/USD,138.967,140.453,138.528,138.936,6611.508636,918576.563851296
1764108000000,2025-11-25 22:00:00,SOL/USD,137.084,139.5,136.0,138.967,1847.966042,256806.29695861402
1764104400000,2025-11-25 21:00:00,SOL/USD,137.757,138.095,136.95,137.084,1873.948518,256888.358641512
1764100800000,2025-11-25 20:00:00,SOL/USD,136.611,137.939,136.313,137.757,4298.707119,592176.996592083
1764097200000,2025-11-25 19:00:00,SOL/USD,136.274,136.644,134.0,136.611,2700.544108,368924.031137988
1764093600000,2025-11-25 18:00:00,SOL/USD,136.865,137.614,136.274,136.274,2395.397574,326430.408999276
1764090000000,2025-11-25 17:00:00,SOL/USD,135.995,137.946,135.74,136.865,2179.323863,298273.160509495
1764086400000,2025-11-25 16:00:00,SOL/USD,134.787,137.033,134.533,135.995,2352.679251,319952.61473974504
1764082800000,2025-11-25 15:00:00,SOL/USD,134.672,135.446,133.5,134.787,2173.57619,292969.81392153003
1764079200000,2025-11-25 14:00:00,SOL/USD,135.332,136.163,133.129,134.672,2283.96465,307586.0873448
1764075600000,2025-11-25 13:00:00,SOL/USD,136.307,136.868,135.168,135.332,1021.135264,138192.277547648
1764072000000,2025-11-25 12:00:00,SOL/USD,136.286,136.951,135.66,136.307,1374.572654,187363.874748778
1764068400000,2025-11-25 11:00:00,SOL/USD,136.638,136.638,135.961,136.286,585.185095,79752.53585717
1764064800000,2025-11-25 10:00:00,SOL/USD,136.307,136.789,135.896,136.638,517.575013,70720.414626294
1764061200000,2025-11-25 09:00:00,SOL/USD,135.311,136.307,134.742,136.307,442.071009,60257.37302376299
1764057600000,2025-11-25 08:00:00,SOL/USD,136.452,136.581,135.164,135.311,524.675694,70994.39283083401
1764054000000,2025-11-25 07:00:00,SOL/USD,138.217,138.217,136.323,136.452,1870.376564,255216.62291092798
1764050400000,2025-11-25 06:00:00,SOL/USD,138.566,138.587,137.426,138.217,749.410293,103581.24246758102
1764046800000,2025-11-25 05:00:00,SOL/USD,138.528,138.683,137.879,138.566,510.597343,70751.431430138
1764043200000,2025-11-25 04:00:00,SOL/USD,137.627,138.848,137.627,138.528,2083.830084,288668.813876352
1764039600000,2025-11-25 03:00:00,SOL/USD,138.133,138.528,137.352,137.627,364.693203,50191.631449281
1764036000000,2025-11-25 02:00:00,SOL/USD,137.796,138.26,137.197,138.133,516.981305,71412.17860356501
1764032400000,2025-11-25 01:00:00,SOL/USD,138.411,138.915,137.795,137.796,1034.907633,142606.13219686798
1764028800000,2025-11-25 00:00:00,SOL/USD,138.495,138.889,137.552,138.411,2158.770087,298797.526511757
1764025200000,2025-11-24 23:00:00,SOL/USD,138.961,139.197,138.191,138.495,1406.754752,194828.49937824003
1764021600000,2025-11-24 22:00:00,SOL/USD,139.074,139.823,138.513,138.961,3754.682867,521754.485881187
1764018000000,2025-11-24 21:00:00,SOL/USD,138.997,139.12,138.114,139.074,4035.982356,561300.210178344
1764014400000,2025-11-24 20:00:00,SOL/USD,137.229,139.294,137.229,138.997,12732.493793,1769778.439745621
1764010800000,2025-11-24 19:00:00,SOL/USD,137.397,137.797,136.644,137.229,3950.564734,542132.047882086
1764007200000,2025-11-24 18:00:00,SOL/USD,137.032,137.95,136.468,137.397,7291.33346,1001807.34340362
1764003600000,2025-11-24 17:00:00,SOL/USD,133.803,137.19,133.537,137.032,4661.697822,638801.7759443041
1764000000000,2025-11-24 16:00:00,SOL/USD,131.791,134.323,131.758,133.803,8791.647716,1176348.8393439478
1763996400000,2025-11-24 15:00:00,SOL/USD,130.617,132.508,129.947,131.791,3436.228725,452864.01989647496
1763992800000,2025-11-24 14:00:00,SOL/USD,129.669,131.481,128.52,130.617,2873.619063,375343.501151871
1763989200000,2025-11-24 13:00:00,SOL/USD,129.465,130.502,129.412,129.669,4738.472477,614432.9876201131
1763985600000,2025-11-24 12:00:00,SOL/USD,129.533,129.915,129.005,129.465,996.77715,129047.75372475
1763982000000,2025-11-24 11:00:00,SOL/USD,129.186,129.745,128.738,129.533,623.762922,80797.88257542599
1763978400000,2025-11-24 10:00:00,SOL/USD,128.936,129.353,128.722,129.186,1312.911607,169609.798861902
1763974800000,2025-11-24 09:00:00,SOL/USD,130.522,130.637,128.41,128.936,1346.041328,173553.18466700803
1763971200000,2025-11-24 08:00:00,SOL/USD,130.229,130.658,129.611,130.522,4179.357661,545498.1206290419
1763967600000,2025-11-24 07:00:00,SOL/USD,131.095,131.343,130.123,130.229,4057.101392,528352.257178768
1763964000000,2025-11-24 06:00:00,SOL/USD,132.886,132.924,130.644,131.095,3106.295715,407219.83675792505
1763960400000,2025-11-24 05:00:00,SOL/USD,131.342,133.77,131.277,132.886,1803.251582,239626.889725652
1763956800000,2025-11-24 04:00:00,SOL/USD,133.382,133.469,130.668,131.342,1941.184269,254959.02425899805
1763953200000,2025-11-24 03:00:00,SOL/USD,133.314,134.323,132.798,133.382,1331.900792,177651.59143854398
1763949600000,2025-11-24 02:00:00,SOL/USD,131.449,134.294,131.294,133.314,3813.388994,508378.140346116
1763946000000,2025-11-24 01:00:00,SOL/USD,130.863,131.62,129.947,131.449,5720.910294,752007.9372360061
1763942400000,2025-11-24 00:00:00,SOL/USD,130.564,132.005,129.261,130.863,5273.904816,690159.0059362081
1763938800000,2025-11-23 23:00:00,SOL/USD,132.441,132.839,130.482,130.564,3549.143995,463390.43656317994
1763935200000,2025-11-23 22:00:00,SOL/USD,133.093,133.178,132.274,132.441,2008.879252,266057.977014132
1763931600000,2025-11-23 21:00:00,SOL/USD,132.653,133.33,131.512,133.093,897.918948,119506.72654616399
1763928000000,2025-11-23 20:00:00,SOL/USD,132.464,132.798,132.024,132.653,1084.535925,143866.94405902497
1763924400000,2025-11-23 19:00:00,SOL/USD,132.135,133.03,132.0,132.464,761.444632,100864.00173324799
1763920800000,2025-11-23 18:00:00,SOL/USD,131.306,132.871,131.306,132.135,1115.624106,147412.99124630998
1763917200000,2025-11-23 17:00:00,SOL/USD,131.725,131.788,130.889,131.306,332.87176,43708.05931856
1763913600000,2025-11-23 16:00:00,SOL/USD,133.024,133.368,131.725,131.725,5190.912738,683772.9804130499
1763910000000,2025-11-23 15:00:00,SOL/USD,130.578,133.05,130.408,133.024,453.833157,60370.701876768006
1763906400000,2025-11-23 14:00:00,SOL/USD,131.564,132.675,130.5,130.578,619.338655,80872.00289259
